1.390000000000000036e+01,1.158333333333329440e+00,3.298090571496742740e+01,2.156878874728637285e+01
1.400000000000000000e+01,1.166666666666662966e+00,3.310001925313544291e+01,2.184412752805103253e+01
1.410000000000000142e+01,1.174999999999996270e+00,3.321683419215744948e+01,2.212044934982622024e+01
1.420000000000000107e+01,1.183333333333329795e+00,3.333134241993185043e+01,2.239773502370757896e+01
1.430000000000000071e+01,1.191666666666663099e+00,3.344353598454439691e+01,2.267596529385697224e+01
1.440000000000000036e+01,1.199999999999996625e+00,3.355340709482041461e+01,2.295512083883967236e+01
1.450000000000000000e+01,1.208333333333329929e+00,3.366094812086584653e+01,2.323518227296613148e+01
1.460000000000000142e+01,1.216666666666663232e+00,3.376615159459709758e+01,2.351613014763819720e+01
1.470000000000000107e+01,1.224999999999996758e+00,3.386901021025966685e+01,2.379794495269970156e+01
1.480000000000000071e+01,1.233333333333330284e+00,3.396951682493546087e+01,2.408060711779132390e+01
1.490000000000000036e+01,1.241666666666663588e+00,3.406766445903885909e+01,2.436409701370964243e+01
1.500000000000000000e+01,1.249999999999996891e+00,3.416344629680138212e+01,2.464839495377025713e+01
1.510000000000000142e+01,1.258333333333330195e+00,3.425685568674500558e+01,2.493348119517491313e+01
1.520000000000000107e+01,1.266666666666663721e+00,3.434788614214407687e+01,2.521933594038252835e+01
1.530000000000000071e+01,1.274999999999997025e+00,3.443653134147577788e+01,2.550593933848400852e+01
1.540000000000000036e+01,1.283333333333330550e+00,3.452278512885911965e+01,2.579327148658077817e+01
1.550000000000000000e+01,1.291666666666663854e+00,3.460664151448241199e+01,2.608131243116691067e+01
1.560000000000000142e+01,1.299999999999997158e+00,3.468809467501924360e+01,2.637004216951478952e+01
1.570000000000000107e+01,1.308333333333330684e+00,3.476713895403286614e+01,2.665944065106417682e+01
1.580000000000000071e+01,1.316666666666663987e+00,3.484376886236900361e+01,2.694948777881459634e+01
1.590000000000000036e+01,1.324999999999997513e+00,3.491797907853703720e+01,2.724016341072096381e+01
1.600000000000000000e+01,1.333333333333330817e+00,3.498976444907956562e+01,2.753144736109232582e+01
1.610000000000000142e+01,1.341666666666664343e+00,3.505911998893024872e+01,2.782331940199363274e+01
1.619999999999999929e+01,1.349999999999997646e+00,3.512604088176003359e+01,2.811575926465044972e+01
